date,time,vcc,vbat
2016/10/08,02:27:10,3.36,3.79
2016/10/08,02:28:10,3.36,3.79
2016/10/08,02:29:09,3.39,3.78
2016/10/08,02:30:09,3.35,3.79
2016/10/08,02:31:09,3.38,3.78
2016/10/08,02:32:08,3.39,3.78
2016/10/08,02:33:08,3.39,3.78
2016/10/08,02:34:07,3.39,3.78
2016/10/08,02:35:08,3.36,3.78
2016/10/08,02:36:07,3.39,3.78
2016/10/08,02:37:07,3.40,3.77
2016/10/08,02:38:06,3.37,3.77
2016/10/08,02:39:06,3.39,3.77
2016/10/08,02:40:06,3.40,3.78
2016/10/08,02:41:05,3.36,3.77
2016/10/08,02:42:04,3.39,3.78
2016/10/08,02:43:04,3.39,3.77
2016/10/08,02:44:04,3.40,3.77
2016/10/08,02:45:03,3.37,3.77
2016/10/08,02:46:03,3.40,3.77
2016/10/08,02:47:02,3.37,3.77
2016/10/08,02:48:02,3.38,3.77
2016/10/08,02:49:01,3.41,3.76
2016/10/08,02:50:01,3.35,3.76
2016/10/08,02:51:00,3.39,3.76
2016/10/08,02:52:00,3.41,3.76
2016/10/08,02:52:59,3.37,3.77
2016/10/08,02:53:59,3.38,3.77
2016/10/08,02:54:59,3.40,3.76
2016/10/08,02:55:59,3.40,3.76
2016/10/08,02:56:58,3.39,3.76
2016/10/08,02:57:57,3.39,3.76
2016/10/08,02:58:56,3.39,3.76
2016/10/08,02:59:57,3.36,3.76
2016/10/08,03:00:56,3.37,3.76
2016/10/08,03:01:55,3.39,3.76
2016/10/08,03:02:55,3.38,3.75
2016/10/08,03:03:55,3.37,3.75
2016/10/08,03:04:54,3.39,3.75
2016/10/08,03:05:54,3.39,3.74
2016/10/08,03:06:53,3.37,3.75
2016/10/08,03:07:53,3.39,3.75
2016/10/08,03:08:53,3.36,3.76
2016/10/08,03:09:52,3.38,3.75
2016/10/08,03:10:52,3.39,3.75
2016/10/08,03:11:51,3.39,3.75
2016/10/08,03:12:51,3.39,3.75
2016/10/08,03:13:50,3.36,3.74
2016/10/08,03:14:50,3.39,3.75
2016/10/08,03:15:50,3.39,3.75
2016/10/08,03:16:49,3.39,3.75
2016/10/08,03:17:49,3.38,3.74
2016/10/08,03:18:49,3.37,3.74
2016/10/08,03:19:48,3.37,3.74
2016/10/08,03:20:48,3.36,3.74
2016/10/08,03:21:48,3.39,3.74
2016/10/08,03:22:47,3.39,3.74
2016/10/08,03:23:46,3.39,3.73
2016/10/08,03:24:46,3.38,3.74
2016/10/08,03:25:46,3.38,3.73
2016/10/08,03:26:45,3.39,3.73
2016/10/08,03:27:45,3.34,3.74
2016/10/08,03:28:45,3.39,3.73
2016/10/08,03:29:44,3.39,3.74
2016/10/08,03:30:44,3.36,3.73
2016/10/08,03:31:43,3.39,3.73
2016/10/08,03:32:43,3.38,3.73
2016/10/08,03:33:43,3.40,3.73
2016/10/08,03:34:43,3.39,3.73
2016/10/08,03:35:42,3.39,3.73
2016/10/08,03:36:41,3.39,3.73
2016/10/08,03:37:41,3.40,3.73
2016/10/08,03:38:41,3.39,3.72
2016/10/08,03:39:40,3.38,3.72
2016/10/08,03:40:40,3.38,3.72
2016/10/08,03:41:39,3.38,3.72
2016/10/08,03:42:39,3.38,3.73
2016/10/08,03:43:39,3.40,3.72
2016/10/08,03:44:38,3.39,3.72
2016/10/08,03:45:38,3.37,3.72
2016/10/08,03:46:37,3.39,3.72
2016/10/08,03:47:37,3.38,3.72
2016/10/08,03:48:37,3.36,3.72
2016/10/08,03:49:36,3.36,3.72
2016/10/08,03:50:36,3.38,3.72
2016/10/08,03:51:36,3.39,3.71
2016/10/08,03:52:35,3.35,3.72
2016/10/08,03:53:35,3.39,3.71
2016/10/08,03:54:35,3.39,3.71
2016/10/08,03:55:34,3.39,3.72
2016/10/08,03:56:34,3.38,3.71
2016/10/08,03:57:34,3.39,3.71
2016/10/08,03:58:33,3.40,3.71
2016/10/08,03:59:33,3.36,3.71
2016/10/08,04:00:32,3.38,3.71
2016/10/08,04:01:32,3.37,3.71
2016/10/08,04:02:31,3.35,3.71
2016/10/08,04:03:31,3.36,3.71
2016/10/08,04:04:31,3.38,3.71
2016/10/08,04:05:30,3.39,3.71
2016/10/08,04:06:30,3.37,3.71
2016/10/08,04:07:30,3.36,3.71
2016/10/08,04:08:29,3.40,3.71
2016/10/08,04:09:29,3.38,3.70
2016/10/08,04:10:29,3.39,3.70
2016/10/08,04:11:28,3.39,3.70
2016/10/08,04:12:28,3.38,3.70
2016/10/08,04:13:28,3.39,3.70
